QUANTITY,MATERIAL,TEXTDATA,LABEL WIDTH(mm),LABEL HEIGHT(mm),TEXT HEIGHT(mm)
1,WHBK,"WBT002OSS9
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS9
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I0
I1",14.986,44.958,2.55
1,WHBK,"WBT002OSS10
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT002OSS10
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I2
I3",14.986,44.958,2.55
1,WHBK,"WBT002PBX1
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I9",14.986,44.958,2.55
1,WHBK,"WBT002PBX2
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I11",14.986,44.958,2.55
1,WHBK,"WBT002PBX3
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I12",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I13",14.986,44.958,2.55
1,WHBK,"WBT002PBX4
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I14",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
3
I15",14.986,44.958,2.55
1,WHBK,"WBT002PBX5
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I9",14.986,44.958,2.55
1,WHBK,"WBT002PBX6
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I11",14.986,44.958,2.55
1,WHBK,"WBT002PBX7
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I12",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I13",14.986,44.958,2.55
1,WHBK,"WBT002PBX8
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I14",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
4
I15",14.986,44.958,2.55
1,WHBK,"WBT002PBX9
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I9",14.986,44.958,2.55
1,WHBK,"WBT002PBX10
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
0
2
B
L
K
0
5
I11",14.986,44.958,2.55
1,WHBK,"WBT002ENC1
ENCODER",44.958,14.986,4
1,WHBK,"WBT010OSS1
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS1
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I0
I1",14.986,44.958,2.55
1,WHBK,"WBT010OSS2
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS2
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I2
I3",14.986,44.958,2.55
1,WHBK,"WBT010OSS3
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS3
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I4
I5",14.986,44.958,2.55
1,WHBK,"WBT010OSS4
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS4
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I6
I7",14.986,44.958,2.55
1,WHBK,"WBT010OSS5
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS5
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I0
I1",14.986,44.958,2.55
1,WHBK,"WBT010OSS6
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS6
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I2
I3",14.986,44.958,2.55
1,WHBK,"WBT010OSS7
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS7
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I4
I5",14.986,44.958,2.55
1,WHBK,"WBT010OSS8
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS8
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I6
I7",14.986,44.958,2.55
1,WHBK,"WBT010OSS9
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS9
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I0
I1",14.986,44.958,2.55
1,WHBK,"WBT010OSS10
RUN/STOP BOX",44.958,14.986,4
1,WHBK,"WBT010OSS10
RUN/STOP SF",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I2
I3",14.986,44.958,2.55
1,WHBK,"WBT010PBX1
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I9",14.986,44.958,2.55
1,WHBK,"WBT010PBX2
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I11",14.986,44.958,2.55
1,WHBK,"WBT010PBX3
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I12",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I13",14.986,44.958,2.55
1,WHBK,"WBT010PBX4
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I14",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
3
I15",14.986,44.958,2.55
1,WHBK,"WBT010PBX5
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I9",14.986,44.958,2.55
1,WHBK,"WBT010PBX6
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I11",14.986,44.958,2.55
1,WHBK,"WBT010PBX7
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I12",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I13",14.986,44.958,2.55
1,WHBK,"WBT010PBX8
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I14",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
4
I15",14.986,44.958,2.55
1,WHBK,"WBT010PBX9
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I8",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I9",14.986,44.958,2.55
1,WHBK,"WBT010PBX10
LEADER CALL BOX",44.958,14.986,4
1,WHBK,"TEAM LEADER CALL
SF1",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I10",14.986,44.958,2.55
1,WHBK,"MAINTENANCE CALL
SF2",44.958,14.986,4
1,WHBK,"W
B
T
0
1
0
B
L
K
0
5
I11",14.986,44.958,2.55
1,WHBK,"WBT010ENC1
ENCODER",44.958,14.986,4
